query,title,query_count,title_count,cooccurrence,npmi,similarity
scraper,scrapers,3840,286,44,0.5615856388536473,0.9649584889411926
transducers,transducer,30,690,16,0.7161363281628426,0.9649518728256226
pedometers,pedometer,26,1672,19,0.6869218854156135,0.9649360179901123
skateboard,skateboards,5557,876,110,0.557297266115879,0.9648507237434387
skateboards,skateboard,876,5557,130,0.5767410038393298,0.9648507237434387
leotard,leotards,2611,864,75,0.569694095467347,0.9647645950317383
leotards,leotard,864,2611,110,0.6140720526184081,0.9647645950317383
steppers,stepper,55,627,34,0.7693383560372679,0.9647229313850403
scratcher,scratchers,1253,206,17,0.5591863038526786,0.964575469493866
scratchers,scratcher,206,1253,53,0.6833660993741816,0.964575469493866
turntables,turntable,86,3096,32,0.623805878282737,0.9645687341690063
electrolyte,electrolytes,1791,1234,77,0.5741408771330659,0.9644723534584045
crushers,crusher,50,1035,36,0.7485546865426446,0.9644684791564941
beanbags,beanbag,77,910,14,0.6233316409295829,0.9644197225570679
diarrhea,diarrheal,375,90,12,0.6538013987894198,0.9643935561180115
diarrheal,diarrhea,90,375,11,0.6447222290644007,0.9643935561180115
blender,blenders,5069,351,39,0.5155867317962943,0.9643475413322449
campfires,campfire,65,622,10,0.6235647356036575,0.9642468094825745
otoscopes,otoscope,13,255,17,0.8417172226356386,0.9640640616416931
pellets,pellet,1690,1179,37,0.5023999591330401,0.9640377759933472
pegboard,pegboards,727,321,10,0.5136199030912167,0.9639815092086792
grinder,grinders,8328,708,111,0.5441821436253711,0.9639215469360352
terrariums,terrarium,171,1724,13,0.524040614425723,0.9633341431617737
date,dates,2673,733,36,0.5007386612309428,0.9631101489067078
sort,sorting,324,982,16,0.5395615395641801,0.96308833360672
intenza,intenza+,60,30,10,0.8187255306940784,0.9630526304244995
atomizers,atomizer,74,671,31,0.7336951631988198,0.9629995822906494
stamper,stampers,252,247,14,0.6309194594282986,0.9629660844802856
kennels,kennel,161,1794,27,0.5999101122846101,0.9629451036453247
freezers,freezer,62,6918,29,0.5810202763925307,0.9629405736923218
vibrators,vibrator,179,1478,54,0.6838434989537615,0.962925910949707
hammock,hammocks,6978,557,72,0.5261671455161305,0.962803840637207
hammocks,hammock,557,6978,76,0.5320964492400637,0.962803840637207
stethoscopes,stethoscope,101,1359,18,0.6061141316800944,0.9628010988235474
stethoscope,stethoscopes,1359,101,10,0.5469063118446263,0.9628010392189026
succulent,succulents,3978,1812,92,0.5084235411754057,0.9627333283424377
hoverboard,hoverboards,1334,157,32,0.6400443707840484,0.9627220034599304
hoverboards,hoverboard,157,1334,34,0.6467984909583424,0.9627220034599304
screwdriver,screwdrivers,4420,446,54,0.5429866507197023,0.9626137614250183
blueprints,blueprint,187,198,19,0.6974098959088172,0.9625270366668701
fujifilms,fujifilm,16,2641,27,0.7284663826526131,0.9624242186546326
converters,converter,153,9233,51,0.5601039209479317,0.9623802304267883
bifocal,bifocals,866,256,20,0.5857741779592261,0.9623757600784302
cookers,cooker,300,7400,87,0.5877631983304228,0.9623721837997437
washlet,washlet+,124,34,11,0.7759632552024236,0.9623011350631714
loungers,lounger,166,2658,24,0.5592875470169207,0.9622466564178467
sketchbook,sketchbooks,1309,109,10,0.5444765606555028,0.9621237516403198
sketchbooks,sketchbook,109,1309,11,0.5537642429052079,0.9621237516403198
longboards,longboard,165,1119,41,0.6766838860046838,0.9620482921600342
mowers,mower,313,3313,45,0.5679911788380628,0.9620184302330017
m477fdw,m477fdn,165,149,14,0.6904344861426016,0.9618090391159058
bassinets,bassinet,117,2021,35,0.641788814044998,0.9616352319717407
hemostats,hemostat,21,47,15,0.9048494236529212,0.9616008996963501
pourers,pourer,252,608,10,0.5400087936337892,0.961330235004425
glowstick,glowsticks,60,239,11,0.6987259594025466,0.9612629413604736
shavers,shaver,740,4159,188,0.6566873335634917,0.9612517356872559
wayfarers,wayfarer,17,603,13,0.7382261756967349,0.9611833095550537
mixer,mixers,6279,510,60,0.520193341761915,0.9611794352531433
mixers,mixer,510,6279,59,0.5183902029220099,0.9611794352531433
emerils,emeril,33,446,24,0.7849450188766942,0.9610233306884766
ranchers,rancher,78,644,21,0.688520128731851,0.9609860181808472
tortillas,tortilla,325,1434,30,0.5790377516210208,0.9609386324882507
tortilla,tortillas,1434,325,21,0.5419917062248317,0.9609386324882507
calipers,caliper,181,1324,74,0.728988532479865,0.960862398147583
caliper,calipers,1324,181,23,0.5952888157419026,0.960862398147583
toothpastes,toothpaste,18,4240,12,0.6020355271066785,0.9607576727867126
pugs,pug,377,502,28,0.6321557457280141,0.9607433080673218
dragonlark,dragonlarks,62,81,11,0.7649255330158506,0.9606790542602539
poncho,ponchos,1642,375,35,0.5766460787487232,0.9605134725570679
ponchos,poncho,375,1642,49,0.6136004147027454,0.9605134725570679
retainer,retainers,2064,225,14,0.5021616800394868,0.9604490995407104
crepes,crepe,57,1426,13,0.6061957230944212,0.9604145288467407
outlier,outliers,103,41,10,0.7652433255490075,0.9603713750839233
dice,dices,4072,118,22,0.5447105481670842,0.9603313207626343
turbochargers,turbocharger,16,134,15,0.8549269412199555,0.9601486325263977
inverters,inverter,58,3672,47,0.6826708582497049,0.960147500038147
certificates,certificate,175,893,11,0.548022333723862,0.9600068926811218
printers,printer,1758,15295,277,0.5358439343685775,0.9599849581718445
headwraps,headwrap,511,562,14,0.532955008595878,0.9599648714065552
avocado,avocados,1489,46,13,0.617111071284851,0.9599173665046692
airplanes,airplane,282,3374,26,0.5163476916009877,0.959862232208252
harmonicas,harmonica,23,345,25,0.830901426209174,0.9597947597503662
infection,infections,522,316,16,0.5820130293974337,0.9597739577293396
keypads,keypad,95,2035,13,0.5509458741872348,0.9597473740577698
enhancers,enhancer,124,1951,10,0.5113613942030764,0.9597171545028687
ramekins,ramekin,441,116,18,0.6703840905522702,0.9596686363220215
ramekin,ramekins,116,441,21,0.6873211701670858,0.9596685171127319
jumpsuits,jumpsuit,2622,7576,183,0.5102357191521837,0.9596444964408875
dreadlock,dreadlocks,191,411,21,0.6591532081226366,0.9595407843589783
cookbooks,cookbook,478,4412,180,0.6801235580936992,0.9595144391059875
subwoofers,subwoofer,430,4148,64,0.5686956292206726,0.9593705534934998
crucibles,crucible,42,110,11,0.7701896737375776,0.9593647718429565
raincoat,raincoats,1605,222,16,0.5322449887394753,0.9593234658241272
goals,goal,1020,1527,40,0.5273626007664075,0.9592564702033997
staccatos,staccato,16,27,12,0.9303017323761213,0.9592422246932983
speedloaders,speedloader,28,47,12,0.8596318975682454,0.9591977596282959
planters,planter,2686,7671,230,0.5343317938391922,0.9591629505157471
horses,horse,1088,5366,125,0.5585879635671623,0.9591537714004517
horse,horses,5366,1088,75,0.5014324156870732,0.9591537714004517
skimmer,skimmers,1270,117,25,0.6359438398776115,0.9591305255889893
skimmers,skimmer,117,1270,11,0.5512039298707264,0.9591305255889893
corsets,corset,539,3404,62,0.5631674174969962,0.9591288566589355
crossbow,crossbows,607,138,25,0.6740824501093827,0.9591284990310669
crossbows,crossbow,138,607,31,0.6983926040131266,0.9591284990310669
cutouts,cutout,785,2311,44,0.526883595426035,0.9591270685195923
pinwheels,pinwheel,66,125,10,0.7232440198759589,0.9590800404548645
sleds,sled,37,509,12,0.69081160026889,0.959068238735199
pheromone,pheromones,263,121,13,0.6659912629642644,0.9589794874191284
yogury,yogurt,37,1929,40,0.739126020483823,0.9589189887046814
fresheners,freshener,311,3609,56,0.5865354880393755,0.9588837623596191
crayons,crayon,2759,838,53,0.5297997623410585,0.9588732719421387
rowboats,rowboat,16,12,12,0.9817488459912962,0.9588459730148315
probiotic,probiotics,3165,4743,234,0.5611557540602294,0.9587622880935669
probiotics,probiotic,4743,3165,299,0.5916553455201036,0.9587622880935669
ecovac,ecovacs,16,56,16,0.9190445597523133,0.9587184190750122
treadmill,treadmills,1353,317,43,0.6240135706456428,0.9586365222930908
treadmills,treadmill,317,1353,78,0.6936372056882574,0.9586365222930908
monologue,monologues,37,69,35,0.9500183679455931,0.9586111903190613
strollers,stroller,369,6812,56,0.5298443710271066,0.9585859775543213
swimsuits,swimsuit,5702,12326,614,0.5579683135505172,0.9584899544715881
throwers,thrower,109,420,12,0.6344600034579716,0.958346962928772
duster,dusters,2181,288,43,0.5976767682525965,0.9582366347312927
dusters,duster,288,2181,23,0.5315248433828672,0.9582366347312927
thermometer,thermometers,10676,437,92,0.5401188181632566,0.9582220315933228
thermometers,thermometer,437,10676,65,0.5020997615416819,0.9582220315933228
diffuser,diffusers,9519,1469,151,0.5148293740969444,0.9582074284553528
diffusers,diffuser,1469,9519,317,0.6047872429554423,0.9582074284553528
changer,changers,1397,109,18,0.5993546265660936,0.9581975340843201
lanyard,lanyards,7358,1074,115,0.5265408833405856,0.9581632018089294
lanyards,lanyard,1074,7358,205,0.5948199693745618,0.9581632018089294
deodorizers,deodorizer,158,1564,12,0.5274969853201525,0.9581061601638794
sculptures,sculpture,227,1135,11,0.5164776133487112,0.958091676235199
roasters,roaster,329,419,24,0.6364903135962671,0.9580718278884888
teaspoons,teaspoon,150,216,11,0.6472978441396936,0.9580478668212891
keycaps,keycap,663,334,67,0.7223786482385242,0.9579743146896362
thermostats,thermostat,162,4994,141,0.7213178377629239,0.9579509496688843
mustache,mustaches,1593,436,29,0.5486278246582731,0.9579316973686218
grater,graters,1220,56,12,0.609060627719688,0.9579032063484192
sachets,sachet,560,457,14,0.5403390034136331,0.9578444361686707
sachet,sachets,457,560,18,0.5655464621139272,0.9578444361686707
dryers,dryer,514,11702,145,0.5737735710678807,0.9578016400337219
bookends,bookend,447,158,31,0.7099112104359433,0.9577882289886475
bookend,bookends,158,447,11,0.5981326300461068,0.9577882289886475
airbrush,airbrushes,1024,40,12,0.6415180213922421,0.9577873945236206
chopstick,chopsticks,242,1180,19,0.5639165378941194,0.9576807022094727
chopsticks,chopstick,1180,242,63,0.6968317854054498,0.9576807022094727
braiding,braids,2716,2129,105,0.5393039923631858,0.9576616287231445
greenhouses,greenhouse,42,1566,20,0.6654454609412962,0.9575904607772827
jigger,jiggers,335,20,10,0.7362957131405777,0.95751953125
adaptors,adapters,82,1674,10,0.5469021996810838,0.9574693441390991
award,awards,2684,345,26,0.5181592220638699,0.9574630260467529
carports,carport,49,670,41,0.7955134700094506,0.9574230909347534
faucet,faucets,14953,1452,218,0.5238698706263004,0.9574012160301208
faucets,faucet,1452,14953,293,0.5597232275316528,0.9574012160301208
balusters,baluster,86,37,12,0.8036180390314847,0.9572993516921997
cleats,cleat,1595,515,35,0.5570299391106779,0.9572494626045227
espadrilles,espadrille,186,528,18,0.6279141768962673,0.9572237730026245
glycerine,glycerin,108,1021,18,0.6203719131183889,0.9572106003761292
wreaths,wreath,842,6093,503,0.7497659150623532,0.9572066068649292
stirrer,stirrers,297,264,23,0.6692196030976147,0.9571812748908997
kimonos,kimono,106,3094,35,0.6195223905166813,0.9571765661239624
defrosting,defrost,470,884,19,0.5394124899584618,0.9571711421012878
daybeds,daybed,44,1167,18,0.6701401487386707,0.9570305943489075
fridge,refrigerator,8069,10067,513,0.5225922953496818,0.9569922089576721
softeners,softener,15,1564,17,0.7147659575247571,0.956736147403717
beakers,beaker,19,185,13,0.8064771030322339,0.9567018151283264
pretzels,pretzel,266,392,15,0.604958192122092,0.9566259384155273
pretzel,pretzels,392,266,16,0.611651793804106,0.9566259384155273
appetizers,appetizer,456,767,17,0.5394765880703981,0.9566101431846619
kwanza,kwanzaa,27,35,10,0.8591374520570098,0.9566001892089844
fermenting,fermentation,325,219,33,0.7166336221367944,0.956507682800293
boardshorts,boardshort,376,573,35,0.6481219903133756,0.9564964175224304
boyshorts,boyshort,348,838,18,0.5570421369925118,0.9564627408981323
clipboards,clipboard,131,809,30,0.6787979975892836,0.9564228057861328
x555l,x555la,79,81,11,0.7496370536808004,0.9563952088356018
dumbbells,dumbbell,1929,2840,281,0.6637622625583062,0.956359326839447
minifigures,minifigure,825,642,23,0.5428092281016319,0.9562727808952332
pulleys,pulley,76,1443,40,0.7096216080661037,0.9562353491783142
mandolines,mandoline,15,476,17,0.7919410267556443,0.9561699628829956
weapons,weapon,482,603,13,0.5249463897877518,0.956168532371521
j491dw,j497dw,74,45,10,0.7801431407485452,0.956074595451355
sharpener,sharpeners,4306,281,38,0.5392831129317581,0.9560632705688477
sharpeners,sharpener,281,4306,90,0.6358247346545091,0.9560632705688477
slidebelt,slidebelts,16,59,10,0.8592038540348867,0.9559624195098877
babysitter,babysitters,74,107,10,0.7258200786594995,0.9559550881385803
affirmation,affirmations,199,301,15,0.6406319001701639,0.9559507369995117
affirmations,affirmation,301,199,19,0.6659753105633143,0.9559507369995117
whisk,whisks,1526,183,43,0.6536343595339833,0.9559226036071777
joycons,joycon,88,489,19,0.6875866643921333,0.9557875990867615
30x20x1,20x30x1,15,266,11,0.7794394451575306,0.9557763338088989
tattoo,tattoos,8776,3089,290,0.5407951596366213,0.955703854560852
juicers,juicer,33,1025,11,0.6445821761594441,0.9555130004882812
scrunchies,scrunchie,3018,1233,125,0.592150777641561,0.9554749727249146
scrunchie,scrunchies,1233,3018,118,0.5853423796715329,0.9554749131202698
wicca,wiccan,265,161,14,0.6551171202956326,0.9554359912872314
strainer,strainers,5692,509,57,0.5217517500576788,0.9552611708641052
handbags,handbag,2914,5565,203,0.5380335783561715,0.9552281498908997
prebiotic,prebiotics,833,1012,32,0.5458369243524158,0.9552078247070312
blowers,blower,143,5203,31,0.5509542019117303,0.9551728963851929
translators,translator,29,373,19,0.7778197289485195,0.955162525177002
padlocks,padlock,412,1393,36,0.5844730783231225,0.9551459550857544
platter,platters,1650,537,28,0.5286577695192127,0.9551259279251099
conversions,conversion,63,2442,13,0.5655113210976431,0.9550683498382568
flosser,flossers,1314,390,21,0.5357474745678211,0.9550495147705078
beret,berets,914,135,14,0.5870780449602386,0.9550368785858154
berets,beret,135,914,40,0.7015237268430108,0.9550368785858154
chromebooks,chromebook,37,9177,15,0.5289819021795048,0.9549990296363831
burrito,burritos,476,278,27,0.6521168996417379,0.9549981355667114
translate,translation,88,408,10,0.6310106693360189,0.9548510313034058
album,albums,4686,726,57,0.5104438988049621,0.9546958804130554
albums,album,726,4686,128,0.6016638886981118,0.9546958804130554
funnel,funnels,2678,493,58,0.579015705796559,0.954684317111969
wrench,wrenches,7244,304,45,0.515836740056949,0.9546352624893188
masks,mask,11328,47308,1602,0.5085294150278541,0.9545876979827881
eraseable,erasable,45,2247,13,0.5922734647157251,0.9545812010765076
runners,runner,1622,6459,145,0.5319587584179252,0.954568088054657
fireplaces,fireplace,200,5163,30,0.5254518597665488,0.9545340538024902
hornworm,hornworms,18,67,14,0.8835904556268941,0.9545284509658813
backlighting,backlight,137,2740,17,0.5348889362255985,0.9545117020606995
keychains,keychain,1384,16244,183,0.5007419020754648,0.9545065760612488
squishmallow,squishmallows,266,73,13,0.6974909078353112,0.9544917941093445
toothpicks,toothpick,625,294,22,0.6081326729374757,0.9543895721435547
retinoid,retinol,62,3007,12,0.5453727088959253,0.9543838500976562
flasks,flask,639,6125,58,0.5024164326336695,0.9543644785881042
wildflower,wildflowers,1042,269,13,0.5272580765920252,0.9543027877807617
khakis,khaki,218,9633,56,0.542486274594223,0.9541783332824707
kindles,kindle,67,6566,17,0.5245958529695747,0.9541751146316528
burners,burner,684,7682,88,0.5265118634876492,0.9540615081787109
amplifiers,amplifier,254,5497,42,0.540033241043496,0.9540396332740784
flatbread,flatbreads,82,30,15,0.8460791519326761,0.9538059830665588
drone,drones,5747,1013,98,0.5310343561822539,0.9537779688835144
drones,drone,1013,5747,315,0.6741060667383926,0.9537779688835144
sideboards,sideboard,54,503,33,0.7819400773663803,0.9536083340644836
kayak,kayaks,3222,478,101,0.6319647083820444,0.9535983800888062
kayaks,kayak,478,3222,31,0.5018407816992265,0.9535982608795166
steamers,steamer,202,5641,69,0.6090921775127861,0.953408420085907
cutters,cutter,2679,12145,238,0.502676303429095,0.953369140625
headpieces,headpiece,145,1183,11,0.5421438803977997,0.9533283114433289
notepad,notepads,1182,415,19,0.5285614576306253,0.9532665610313416
manifolds,manifold,39,1017,10,0.6247659679336279,0.9532085657119751
zapper,zappers,1426,105,19,0.6061059049893839,0.9531598687171936
zappers,zapper,105,1426,30,0.6555196692811662,0.9531598687171936
fugglers,fuggler,76,42,14,0.8212299512927073,0.9531137943267822
pineapple,pineapples,3653,91,11,0.5003996968145746,0.9529056549072266
eggs,egg,3546,9413,290,0.5242541191206799,0.952892005443573
egg,eggs,9413,3546,295,0.5263286066859674,0.9528919458389282
shoelace,shoelaces,162,1372,15,0.5562516933738453,0.9528445601463318
nutcrackers,nutcracker,76,646,35,0.7487853261167746,0.9528403282165527
helmet,helmets,10776,938,133,0.5247326157966616,0.9528267979621887
helmets,helmet,938,10776,324,0.6336329483719809,0.9528267979621887
massagers,massager,527,14148,199,0.595652548742395,0.9527817964553833
benders,bender,119,623,25,0.682207877774389,0.9527432322502136
yoyo,yoyo+,140,54,15,0.7738292655017232,0.9526841640472412
chakra,chakras,1938,161,14,0.5276408512157967,0.952667236328125
recliners,recliner,592,5852,115,0.5876148104720073,0.9525890350341797
communist,communists,185,225,25,0.7206159868920687,0.9525556564331055
keyboards,keyboard,721,27021,173,0.505237827755976,0.9524092674255371
joggers,jogger,2630,5455,291,0.5918255585557325,0.9523855447769165
shawl,shawls,2832,654,50,0.5390535774791094,0.952380359172821
tablecloth,tablecloths,7400,1125,146,0.5500834379609861,0.9522169828414917
tablecloths,tablecloth,1125,7400,158,0.5593698440467044,0.9522169828414917
maps,map,942,6903,136,0.560363105228013,0.9521535634994507
webcams,webcam,68,5077,55,0.667322719556275,0.9521425366401672
splints,splint,560,1917,28,0.5157899523627888,0.952070951461792
variations,variation,259,137,16,0.6813105010708068,0.9519240260124207
urinal,urinals,757,114,16,0.6238779547174894,0.9519100189208984
loveseats,loveseat,119,2786,35,0.6187854895235329,0.9518011212348938
detectors,detector,223,4137,119,0.6898876781494989,0.9517548680305481
bloves,blove,22,49,10,0.8508790584454429,0.951694130897522
trundles,trundle,25,890,18,0.7245965710863222,0.9516326189041138
t580,t587,351,121,14,0.6554091082370507,0.9516280293464661
workbooks,workbook,409,4275,81,0.5968084990842715,0.9515684247016907
trackers,tracker,186,8481,45,0.538940009703271,0.9515275359153748
toenails,toenail,649,1683,64,0.6035044002286964,0.9514681100845337
toenail,toenails,1683,649,44,0.5619627044471984,0.9514681100845337
scanners,scanner,95,4342,58,0.6610188262282723,0.9514576196670532
writers,writer,539,1467,25,0.5247050983603752,0.9513980746269226
teapots,teapot,93,1337,14,0.5865861436597486,0.9513157606124878
barrette,barrettes,449,1205,29,0.5654126742622264,0.951312780380249
tents,tent,1783,13205,341,0.5722549241489739,0.9511623978614807
tent,tents,13205,1783,225,0.5213076342377023,0.9511623978614807
placemats,placemat,2185,1082,80,0.573619691511695,0.9511277675628662
placemat,placemats,1082,2185,149,0.6475182098470053,0.9511277675628662
snorkel,snorkeling,1189,933,51,0.5769880234809622,0.9510451555252075
snorkeling,snorkel,933,1189,51,0.5769880234809622,0.9510451555252075
tomahawks,tomahawk,20,136,10,0.792833256759515,0.9510144591331482
hatchimal,hatchimals,31,366,32,0.8372873872535513,0.9510009288787842
growlers,growler,37,189,11,0.7440363475640362,0.9509431719779968
stencil,stencils,2160,2637,119,0.5547274923295452,0.9509279131889343
stencils,stencil,2637,2160,178,0.6026418727638881,0.9509279131889343
chokers,choker,297,4610,51,0.5622877063521755,0.9508448839187622
textbooks,textbook,255,445,18,0.6185050839758202,0.9506840705871582
textbook,textbooks,445,255,16,0.6061861268730018,0.9506840705871582
bungee,bungees,2233,125,11,0.5114252478695481,0.950619101524353
erasers,eraser,1386,3765,115,0.5572768291661325,0.9505362510681152
hernia,hernias,802,72,15,0.6429898219956209,0.9505195617675781
caulk,caulking,416,228,20,0.6414426087212461,0.9505159258842468
caulking,caulk,228,416,14,0.6039328746780092,0.9505159258842468
circlips,circlip,9,150,11,0.8478133616133832,0.9504722952842712
bookbags,bookbag,639,2789,57,0.5559613559851302,0.9503610134124756
snowboard,snowboards,2341,87,14,0.5549709148887186,0.9503453969955444
goblets,goblet,71,364,10,0.6516300416983806,0.9502405524253845
fashionista,fashionistas,139,193,28,0.7631424848523292,0.9502126574516296
logs,log,342,2417,25,0.5217505147531377,0.9501066207885742
preservatives,preservative,1059,1111,58,0.5871386095801789,0.9500986933708191
villain,villains,266,335,10,0.5739997901703446,0.950003445148468
nightgowns,nightgown,955,3742,173,0.6347566436246401,0.9499214291572571
beyblades,beyblade,78,1237,42,0.7241962216528568,0.9498015642166138
bookcases,bookcase,159,2918,17,0.5211441288109416,0.9497953653335571
finder,finders,2912,183,16,0.5062332042908664,0.9497350454330444
finders,finder,183,2912,20,0.5282706752037329,0.9497350454330444
convertibles,convertible,22,8477,16,0.5740810910438402,0.9497271776199341
lampshades,lampshade,92,587,17,0.6606751320955284,0.9496740102767944
feeder,feeders,7256,1254,108,0.5090802122327858,0.9496017098426819
feeders,feeder,1254,7256,324,0.6420674234434228,0.9496017098426819
diseases,disease,180,674,10,0.5546479292666648,0.9495444893836975
parkas,parka,154,2157,18,0.5485635160219258,0.9495061039924622
